ticker,name,name_simple,average_comments,exclusion
A,Agilent Technologies Inc.,Agilent,338.291666666666,1
AAL,American Airlines Group Inc.,American Airlines,12.0088495575221,0
AAP,Advance Auto Parts Inc.,Advance Auto Parts,3.4,0
AAPL,Apple Inc.,Apple,149.8,0
ABBV,AbbVie Inc.,AbbVie,6.2,0
ABC,AmerisourceBergen Corporation,Amerisource,5.14529914529914,0
ABT,Abbott Laboratories,Abbott,4.95744680851063,0
ACGL,Arch Capital Group Ltd.,Arch Capital,1.2,0
ACN,Accenture Plc Class A,Accenture,3.71875,0
ADBE,Adobe Incorporated,Adobe,8.32,0
ADI,Analog Devices Inc.,Analog Devices,2.96428571428571,0
ADM,Archer-Daniels-Midland Company,Archer,2.82278481012658,0
ADP,Automatic Data Processing Inc.,Automatic Data Processing,4.51764705882352,0
ADSK,Autodesk Inc.,Autodesk,2.93670886075949,0
AEE,Ameren Corporation,Ameren,1.56521739130434,0
AEP,American Electric Power Company Inc.,American Electric Power,2.35,0
AES,AES Corporation,AES Corp,2.37209302325581,0
AFL,Aflac Incorporated,Aflac,1.85714285714285,0
AIG,American International Group Inc.,American International,2.79569892473118,0
AIZ,Assurant Inc.,Assurant,1.47619047619047,0
AJG,Arthur J. Gallagher & Co.,Gallagher & Co.,1.33333333333333,0
AJG,Arthur J. Gallagher & Co.,Arthur Gallagher,1.33333333333333,0
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher,1.33333333333333,0
AKAM,Akamai Technologies Inc.,Akamai,2.75409836065573,0
ALB,Albemarle Corporation,Albemarle,3.02985074626865,0
ALGN,Align Technology Inc.,Align Technology,3.05,0
ALK,Alaska Air Group Inc.,Alaska Air,2.80821917808219,0
ALL,Allstate Corporation,Allstate,27.5593220338983,0
ALLE,Allegion Public Limited Company,Allegion,2.625,1
AMAT,Applied Materials Inc.,Applied Materials,6.12643678160919,0
AMCR,Amcor PLC,Amcor,1.46666666666666,0
AMD,Advanced Micro Devices Inc.,AMD,66.0336134453781,0
AME,AMETEK Inc.,AMETEK,2.02941176470588,0
AMGN,Amgen Inc.,Amgen,3.33673469387755,0
AMP,Ameriprise Financial Inc.,Ameriprise Financial,2.175,0
AMT,American Tower Corporation,American Tower,2.85714285714285,0
AMZN,Amazon.com Inc.,Amazon,125.783333333333,0
ANET,Arista Networks Inc.,Arista Networks,2.75438596491228,1
ANSS,ANSYS Inc.,ANSYS,1.57894736842105,0
AON,Aon Plc Class A,Aon,2.0,0
AOS,A. O. Smith Corporation,Smith Corp,2.08823529411764,0
AOS,A. O. Smith Corporation,AO Smith,2.08823529411764,0
APA,APA Corporation,APA Corp,2.59259259259259,0
APD,Air Products and Chemicals Inc.,Air Products and Chemicals,2.14583333333333,0
APH,Amphenol Corporation Class A,Amphenol,2.52083333333333,0
APTV,Aptiv PLC,Aptiv,2.13513513513513,0
ARE,Alexandria Real Estate Equities Inc.,Alexandria Real Estate,20.1009174311926,0
ATO,Atmos Energy Corporation,Atmos Energy,1.79166666666666,0
ATVI,Activision Blizzard Inc.,Activision,14.0948275862068,0
ATVI,Activision Blizzard Inc.,Blizzard,14.0948275862068,0
AVB,AvalonBay Communities Inc.,AvalonBay,1.29629629629629,0
AVGO,Broadcom Inc.,Broadcom,5.62637362637362,0
AVY,Avery Dennison Corporation,Avery Dennison,1.57894736842105,0
AWK,American Water Works Company Inc.,American Water Works,1.8125,0
AXP,American Express Company,American Express,5.84210526315789,0
AXP,American Express Company,AmEx,5.84210526315789,0
AZO,AutoZone Inc.,AutoZone,3.33802816901408,0
